Signatur;PID;Mappe;Seiten XML;lokal;METS;Backup;GAMS-URLs;Bildmasse;Objekttyp;Autor;Datum;Sprache METS;Sprache erkannt;Transkribiert;Befund
SZ-AAL/B1.62;o:szd.3180;SZ_AAL_B1.62;5;5;5;5;OK;OK;Brief;Zweig, Stefan;12.11.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.63;o:szd.3181;SZ_AAL_B1.63;5;5;5;5;OK;OK;Brief;Zweig, Stefan;15.11.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.64;o:szd.3182;SZ_AAL_B1.64;3;3;3;3;OK;OK;Brief;Zweig, Lotte;19.11.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.65;o:szd.3183;SZ_AAL_B1.65;5;5;5;5;OK;OK;Brief;Zweig, Lotte;22.11.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.66;o:szd.3184;SZ_AAL_B1.66;5;5;5;5;OK;OK;Brief;Zweig, Lotte;27.11.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.67;o:szd.3185;SZ_AAL_B1.67;3;3;3;3;OK;OK;Brief;Zweig, Lotte;3.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.68;o:szd.3186;SZ_AAL_B1.68;3;3;3;3;OK;OK;Brief;Zweig, Stefan;12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.69;o:szd.3187;SZ_AAL_B1.69;5;5;5;5;OK;OK;Brief;Zweig, Stefan;7.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.7;o:szd.3188;SZ_AAL_B1.7;3;3;3;3;OK;OK;Brief;Altmann, Eva;2.12.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.70;o:szd.3189;SZ_AAL_B1.70;3;3;3;3;OK;OK;Brief;Zweig, Lotte;11.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.71;o:szd.3190;SZ_AAL_B1.71;5;5;5;5;OK;OK;Brief;Zweig, Lotte;11.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.73;o:szd.3191;SZ_AAL_B1.73;3;3;3;3;OK;OK;Brief;Zweig, Stefan;11.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.74;o:szd.3192;SZ_AAL_B1.74;3;3;3;3;OK;OK;Brief;Zweig, Lotte;15.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.75;o:szd.3193;SZ_AAL_B1.75;5;5;5;5;OK;OK;Brief;Zweig, Lotte;16.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.76;o:szd.3194;SZ_AAL_B1.76;3;3;3;3;OK;OK;Brief;Zweig, Lotte;18.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.77;o:szd.3195;SZ_AAL_B1.77;3;3;3;3;OK;OK;Postkarte;Zweig, Lotte;27.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.77a;o:szd.3196;SZ_AAL_B1.77a;2;2;2;2;OK;OK;Brief;Zweig, Stefan;1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.78;o:szd.3197;SZ_AAL_B1.78;3;3;3;3;OK;OK;Brief;Zweig, Lotte;31.12.1940;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.79;o:szd.3198;SZ_AAL_B1.79;5;5;5;5;OK;OK;Brief;Zweig, Stefan;01.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.8;o:szd.3199;SZ_AAL_B1.8;3;3;3;3;OK;OK;Brief;Zweig, Stefan;8.12.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.80;o:szd.3200;SZ_AAL_B1.80;3;3;3;3;OK;OK;Brief;Zweig, Stefan;01.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.81;o:szd.3201;SZ_AAL_B1.81;3;3;3;3;OK;OK;Brieffragment;Zweig, Lotte;11.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.82;o:szd.3202;SZ_AAL_B1.82;7;7;7;7;OK;OK;Brief;Zweig, Lotte;12.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.83;o:szd.3203;SZ_AAL_B1.83;5;5;5;5;OK;OK;Brief;Zweig, Stefan;12.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.84;o:szd.3204;SZ_AAL_B1.84;5;5;5;5;OK;OK;Brief;Zweig, Stefan;16.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.85;o:szd.3205;SZ_AAL_B1.85;5;5;5;5;OK;OK;Brief;Zweig, Lotte;22.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.86;o:szd.3206;SZ_AAL_B1.86;5;5;5;5;OK;OK;Brief;Zweig, Stefan;22.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.87;o:szd.3207;SZ_AAL_B1.87;3;3;3;3;OK;OK;Brief;Zweig, Stefan;01.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.88;o:szd.3208;SZ_AAL_B1.88;7;7;7;7;OK;OK;Brief;Zweig, Lotte;25.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.89;o:szd.3209;SZ_AAL_B1.89;5;5;5;5;OK;OK;Brief;Zweig, Lotte;27.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.9;o:szd.3210;SZ_AAL_B1.9;3;3;3;3;OK;OK;Brief;Zweig, Lotte;19.12.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.90;o:szd.3211;SZ_AAL_B1.90;3;3;3;3;OK;OK;Brief;Zweig, Stefan;27.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.91;o:szd.3212;SZ_AAL_B1.91;5;5;5;5;OK;OK;Brief;Zweig, Lotte;29.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.92;o:szd.3213;SZ_AAL_B1.92;3;3;3;3;OK;OK;Brief;Zweig, Stefan;30.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.93;o:szd.3214;SZ_AAL_B1.93;3;3;3;3;OK;OK;Brief;Zweig, Stefan;31.1.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.94;o:szd.3215;SZ_AAL_B1.94;3;3;3;3;OK;OK;Brief;Zweig, Stefan;01.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.95;o:szd.3216;SZ_AAL_B1.95;5;5;5;5;OK;OK;Brief;Altmann, Eva;1.2.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.96;o:szd.3217;SZ_AAL_B1.96;3;3;3;3;OK;OK;Brief;Zweig, Lotte;4.2.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.97;o:szd.3218;SZ_AAL_B1.97;3;3;3;3;OK;OK;Brief;Zweig, Stefan;02.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.98;o:szd.3219;SZ_AAL_B1.98;7;7;7;7;OK;OK;Brief;Zweig, Lotte;10.2.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.99;o:szd.3220;SZ_AAL_B1.99;3;3;3;3;OK;OK;Brief;Zweig, Lotte;13.2.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B10.1;o:szd.3221;SZ_AAL_B10.1;5;5;5;5;OK;OK;Brief;Zweig, Alfred;10.9.1937;Deutsch (pauschal);-;nein;OK
SZ-AAL/B10.2;o:szd.3222;SZ_AAL_B10.2;5;5;5;5;OK;OK;Brief;Zweig, Alfred;11.9.1937;Deutsch (pauschal);-;nein;OK
SZ-AAL/B10.3;o:szd.3223;SZ_AAL_B10.3;5;5;5;5;OK;OK;Brief;Zweig, Alfred;14.9.1937;Deutsch (pauschal);-;nein;OK
SZ-AAL/B10.4;o:szd.3224;SZ_AAL_B10.4;3;3;3;3;OK;OK;Brief;Zweig, Alfred;1.9.1938;Deutsch (pauschal);-;nein;OK
SZ-AAL/B10.5;o:szd.3225;SZ_AAL_B10.5;3;3;3;3;OK;OK;Brieffragment;Zweig, Alfred;8.9.1938;Deutsch (pauschal);-;nein;OK
